exercise,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
db_bench_press,0.5,376,365,279,86,97,0.7644,0.742,0.753,0.7505
db_bench_press,0.75,376,365,131,234,245,0.3589,0.3484,0.3536,0.8735
db_bench_press,0.9,376,365,45,320,331,0.1233,0.1197,0.1215,0.9434
db_biceps_curl,0.5,323,322,235,87,88,0.7298,0.7276,0.7287,0.8539
db_biceps_curl,0.75,323,322,187,135,136,0.5807,0.5789,0.5798,0.9038
db_biceps_curl,0.9,323,322,108,214,215,0.3354,0.3344,0.3349,0.9494
db_rdl,0.5,336,320,243,77,93,0.7594,0.7232,0.7409,0.751
db_rdl,0.75,336,320,121,199,215,0.3781,0.3601,0.3689,0.877
db_rdl,0.9,336,320,50,270,286,0.1562,0.1488,0.1524,0.9409
db_shoulder_press,0.5,313,296,195,101,118,0.6588,0.623,0.6404,0.7233
db_shoulder_press,0.75,313,296,87,209,226,0.2939,0.278,0.2857,0.8643
db_shoulder_press,0.9,313,296,29,267,284,0.098,0.0927,0.0952,0.941
db_squat,0.5,350,349,312,37,38,0.894,0.8914,0.8927,0.794
db_squat,0.75,350,349,202,147,148,0.5788,0.5771,0.578,0.8742
db_squat,0.9,350,349,75,274,275,0.2149,0.2143,0.2146,0.9383
db_triceps_curl,0.5,341,340,273,67,68,0.8029,0.8006,0.8018,0.7848
db_triceps_curl,0.75,341,340,154,186,187,0.4529,0.4516,0.4523,0.8823
db_triceps_curl,0.9,341,340,71,269,270,0.2088,0.2082,0.2085,0.9446
db_weighted_crunch,0.5,335,321,267,54,68,0.8318,0.797,0.814,0.7473
db_weighted_crunch,0.75,335,321,137,184,198,0.4268,0.409,0.4177,0.8655
db_weighted_crunch,0.9,335,321,46,275,289,0.1433,0.1373,0.1402,0.9368
one_arm_db_row,0.5,346,343,308,35,38,0.898,0.8902,0.894,0.8343
one_arm_db_row,0.75,346,343,231,112,115,0.6735,0.6676,0.6705,0.8911
one_arm_db_row,0.9,346,343,128,215,218,0.3732,0.3699,0.3716,0.9366
